SNAP
TSLA
T
AMD
NVDA
NOK
CCL
AAPL
AAL
ITUB
F
AMZN
NIO
VALE
KMI
ABEV
BAC
SHOP
AA
VZ
PBR
DNA
SWN
XPEV
SOFI
INTC
ERIC
BBD
RIG
PLTR
ADT
TWTR
HBAN
WBD
CMCSA
META
SHLX
FCX
APE
MSFT
GOOG
KEY
CSX
GOOGL
UBER
JBLU
ATUS
KGC
NU
BABA
PLUG
CIG
LUMN
PFE
XOM
ORCL
LCID
WFC
NFLX
ET
HPE
GOLD
RF
KO
AMC
CLF
CSCO
PBR-A
RBLX
SLB
NCLH
MU
C
CS
OXY
UMC
DAL
PINS
PCG
CVNA
BEKE
AUY
IBM
GM
PTON
NKE
TLRY
OLPX
AMAT
NEE
UAL
LYG
WU
UAA
DKNG
CPG
SQ
NYCB
GGB
LVS
